,Location type,ParentLocation,PM25 Value,Average PM25
568,Country,Eastern Mediterranean,35.76,23.53843492063492
569,Country,Africa,35.8,23.53843492063492
570,Country,Africa,36.04,23.53843492063492
571,Country,Africa,36.04,23.53843492063492
572,Country,Europe,36.19,23.53843492063492
573,Country,Africa,36.24,23.53843492063492
574,Country,Europe,36.24,23.53843492063492
575,Country,Eastern Mediterranean,36.41,23.53843492063492
576,Country,South-East Asia,36.43,23.53843492063492
577,Country,Africa,36.46,23.53843492063492
578,Country,Africa,36.49,23.53843492063492
579,Country,Africa,36.54,23.53843492063492
580,Country,Africa,36.64,23.53843492063492
581,Country,South-East Asia,36.75,23.53843492063492
582,Country,Eastern Mediterranean,36.91,23.53843492063492
583,Country,South-East Asia,36.92,23.53843492063492
584,Country,Eastern Mediterranean,36.96,23.53843492063492
585,Country,South-East Asia,37.14,23.53843492063492
586,Country,Africa,37.44,23.53843492063492
587,Country,Africa,37.57,23.53843492063492
588,Country,Africa,37.58,23.53843492063492
589,Country,Europe,37.58,23.53843492063492
590,Country,Africa,37.81,23.53843492063492
591,Country,Africa,37.88,23.53843492063492
592,Country,Western Pacific,37.9,23.53843492063492
593,Country,Eastern Mediterranean,37.97,23.53843492063492
594,Country,South-East Asia,37.98,23.53843492063492
595,Country,Africa,38.0,23.53843492063492
596,Country,Western Pacific,38.15,23.53843492063492
597,Country,Africa,38.18,23.53843492063492
598,Country,Africa,38.19,23.53843492063492
599,Country,Europe,38.19,23.53843492063492
600,Country,Africa,38.21,23.53843492063492
601,Country,Europe,38.26,23.53843492063492
602,Country,Europe,38.39,23.53843492063492
603,Country,Africa,38.47,23.53843492063492
604,Country,Africa,38.55,23.53843492063492
605,Country,Africa,38.62,23.53843492063492
606,Country,Africa,38.74,23.53843492063492
607,Country,Europe,38.77,23.53843492063492
608,Country,Eastern Mediterranean,38.93,23.53843492063492
609,Country,Africa,39.01,23.53843492063492
610,Country,Eastern Mediterranean,39.03,23.53843492063492
611,Country,Africa,39.1,23.53843492063492
612,Country,Western Pacific,39.12,23.53843492063492
613,Country,Eastern Mediterranean,39.16,23.53843492063492
614,Country,Eastern Mediterranean,39.29,23.53843492063492
615,Country,Africa,39.29,23.53843492063492
616,Country,Africa,39.42,23.53843492063492
617,Country,Africa,39.42,23.53843492063492
618,Country,South-East Asia,39.57,23.53843492063492
619,Country,Europe,39.65,23.53843492063492
620,Country,Africa,39.96,23.53843492063492
621,Country,Americas,4.86,23.53843492063492
622,Country,Africa,40.06,23.53843492063492
623,Country,Western Pacific,40.17,23.53843492063492
